V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
8282,6073,749,2412,2165,3179,213,6215,1560,6317
7162,2430,1620,9370,7618,1456,5491,5634,9527,992
8886,7083,3327,9299,252,2147,4410,2641,7803,7403
1172,9207,1631,6517,6195,9464,945,1335,6251,2830
7263,5161,5465,8238,7980,9966,2679,326,4398,2316
7783,6085,4794,7710,7544,7354,964,241,6643,4718
5675,39,9469,815,4912,2039,5793,3146,5526,1314
3270,4626,8921,2973,5211,7694,5417,8464,1836,403
1837,7768,1797,8561,1596,1864,8792,9144,7392,6929
602,6117,7228,5290,7776,5283,1724,5322,4895,5807
376,9566,3501,4146,6162,7941,2457,5288,3424,8040
7790,3821,8127,9274,2072,4893,5569,5336,7882,5163
482,9155,8652,4408,3606,3403,9071,7586,66,290
6549,3188,4944,2396,5501,2763,7774,7699,4730,9160
4510,1180,2295,9541,2191,1005,577,1911,5924,7817
2606,7479,4340,5242,4499,4202,9191,5474,6677,7198
5095,9054,7614,7615,7585,7655,2648,5244,4626,8709
1500,6742,4485,8845,73,4914,7266,990,9970,7827
9529,773,7781,1556,5269,7631,7896,4045,9229,3835
8404,59,4585,1503,7636,3518,1762,5602,298,3368
1785,6994,9108,5031,6142,193,513,3534,7120,472
8960,7758,3926,2300,90,2353,8665,3958,158,8382
5203,5401,1883,3945,4297,6140,2619,3243,1050,8228
5944,137,544,9325,8822,9561,7051,8246,9635,2695
9066,7842,9641,2519,1979,662,7607,2984,3282,1527
4630,2909,9577,4026,6032,1340,837,3993,6448,3509
1475,574,1750,3949,2461,5204,8415,3177,9705,3304
174,6044,404,2513,7071,502,3337,9887,835,5400
7542,4770,8902,466,4636,8490,475,3482,4237,6251
7921,8076,2093,9729,9087,6891,485,5883,1280,9405
8614,8162,5668,9495,95,4512,6793,575,5530,7450
5983,7307,2681,5368,7521,3875,1982,5592,8294,1695
5060,1110,3543,6087,1660,863,4345,109,3754,9952
611,4828,9319,3792,9340,4468,3456,4400,6337,6715
9202,6341,2028,8998,3282,5966,5223,9439,4418,22
7251,1278,4563,2798,6802,9476,9200,8219,703,9235
1237,9117,9326,1236,3612,8390,9080,629,9628,6400
5775,5271,7971,3429,7194,9038,6151,7459,3584,7016
8237,9101,9555,6815,6384,9353,4478,4686,3829,4994
3616,2771,5770,5135,1787,8389,5067,8196,5696,7771
541,1001,4078,717,8797,4045,5806,4083,245,4442
5633,9050,9577,619,4068,5885,8063,5174,3056,4872
7169,7537,5143,8154,36,2351,9086,1558,3455,6692
9759,5111,4059,2994,534,1387,9214,2031,7336,5899
8394,8407,371,8546,1130,7159,2640,8423,3931,9937
5074,4549,3653,9359,5078,1173,5726,5709,8415,3888
1425,7200,3169,8149,6227,3542,4333,3318,170,3070
1953,444,3064,8015,6077,699,2922,6588,1369,7797
1156,4848,8537,791,4353,1918,4791,1248,6502,1574
3621,990,8586,2481,4677,2029,4761,6396,9849,7024
3340,699,6981,3325,2920,6081,6316,6045,5214,7671
5736,1992,8914,2386,5836,2840,2810,4412,2602,1935
9679,8515,5668,9217,6774,1096,8334,5440,4820,9928
556,5691,7847,823,9136,6674,749,4898,3390,6315
